query_id,rank,chunk_id,score
none-004,1,chunk_f55a7c18024b23e555b8457734b66277fb374c603f4b2961d271047fb446622b,0.1305643618106842
none-004,2,chunk_4c9234ce3b69e2134a835eba9df90f199c902d6b7c279ee53be2d1b39f0ea4ca,0.13023905456066132
none-004,3,chunk_8b3853ab63eca670b5d971780e46bb9984bee3eefd86f9fb5e5211ee8b253d3c,0.10842866450548172
none-004,4,chunk_0ad0b63b353cc2ae876b29c08376ba139cc0515d9894c8b21d6a5f44f088eec7,0.1010856032371521
none-004,5,chunk_5d683c58bd3d239875dcd923bc4d56da41f2f62c747dd7db3bb3904b2add5321,0.09148266911506653
none-002,1,chunk_3f8cd8800fc9b74059098772d1033d3a9bedc4ee7f78698ace45e9e14cffd898,0.18795573711395264
none-002,2,chunk_ef59c06e2ac70ac3364701d8e14af6b5890c90d5ba5016e9d76c8af377d1312b,0.1822543740272522
none-002,3,chunk_e3b125612c4562662a52e59cbe711b4cffb35f8ca7d229f621e76fd5b88d16f2,0.17764922976493835
none-002,4,chunk_b897e79564b896d4647dad4884921fe29866263db81f645e6640586f9cdb4ee8,0.1710515022277832
none-002,5,chunk_9f5b6ce1d952c34f9e496d16093806883ff0c23656520332ac8dab11d82e515b,0.15904177725315094
none-003,1,chunk_8bd0feb69d61e67ea44c7be5bb06721bf9fce6223dc3c58789be30c5a7eac948,0.13093426823616028
none-003,2,chunk_284de21f7d77d8c8309015e47ce60a59e802fd3fc5c73134dda34d33aa52ef3c,0.12353956699371338
none-003,3,chunk_3bf076a0843bedafaa1bac521ebe9ea530aecd4f33db4eb1579d78235c98948f,0.12162844091653824
none-003,4,chunk_09e3d0e887b0036cfde7c040c071bd8f2ade3a26b4b9611c43c497234d2c3e0b,0.12103861570358276
none-003,5,chunk_5b4c5ed988f9875e4b9f4ecc5be21c0124630b1aa95547ee367022b971b67ad6,0.11584591865539551
none-005,1,chunk_94a0210e0e6f8e6a818b84c4e6ecb334b752286209d1063898ede7ce69416bb6,0.21638169884681702
none-005,2,chunk_50e9aff65071b4299cbd10777478c541ed5fefb8cb373bd9062d297adb249f32,0.16474758088588715
none-005,3,chunk_3c40193b54c878cf4f449ce847506cd30e3d30435969bec0cb59a77fe484ccff,0.16300766170024872
none-005,4,chunk_2a85f44956c50d207266e883b79b3ceab48239b95c3d6ecb00b53f5e95c94763,0.159120112657547
none-005,5,chunk_155d3e8a493f36a23d7d3d91c67f3959401f0e46da73a7e5b40afbf6819b9041,0.15692919492721558
none-001,1,chunk_a1cf4f8238513884a5cff1ff27a9e9ca836a9eb850638391c4d8c29f14f07d35,0.20798718929290771
none-001,2,chunk_556ec26fcd954f62cf0390ca4f906fbcb9e4a8baa4369537993e2486f554036d,0.16340011358261108
none-001,3,chunk_ab5a1694b2be3510bb5bce52c4e9976c1e598db5ba5265647941968911f74aca,0.15760304033756256
none-001,4,chunk_4ad4ebef6675c2a7eb7243b8f7d8a75db927c29bcdb845b5325fc42b3c660430,0.1522996425628662
none-001,5,chunk_9c4585087574d4dacd3c19b80ad73f5f23297917c35736a2dedbca32f3760d87,0.12536250054836273
