query_id,query,split,query_type,topic,intent_group,answer_summary,source_evidence,decision,reason,reviewer
dev-001,Why is regularization used when training a model?,dev,direct,regularization,dev-regularization-purpose,Regularization reduces the risk of fitting the training data too closely and failing to generalize.,"09_google_logistic_loss.txt, page None: Applying regularization is critical to prevent overfitting.
19_google_l2_regularization.txt, page None: A high regularization rate: Strengthens the influence of regularization, thereby reducing the chances of overfitting.
19_google_l2_regularization.txt, page None: Setting the regularization rate to zero removes regularization completely. In this case, training focuses exclusively on minimizing loss, which poses the highest possible overfitting risk.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-002,What fitting problem does a complexity penalty help guard against?,dev,synonym,regularization,dev-regularization-purpose,Regularization reduces the risk of fitting the training data too closely and failing to generalize.,"09_google_logistic_loss.txt, page None: Applying regularization is critical to prevent overfitting.
19_google_l2_regularization.txt, page None: A high regularization rate: Strengthens the influence of regularization, thereby reducing the chances of overfitting.
19_google_l2_regularization.txt, page None: Setting the regularization rate to zero removes regularization completely. In this case, training focuses exclusively on minimizing loss, which poses the highest possible overfitting risk.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-003,What can happen when a model fits its training data without a complexity penalty?,dev,paraphrase,regularization,dev-regularization-purpose,Regularization reduces the risk of fitting the training data too closely and failing to generalize.,"09_google_logistic_loss.txt, page None: Applying regularization is critical to prevent overfitting.
19_google_l2_regularization.txt, page None: A high regularization rate: Strengthens the influence of regularization, thereby reducing the chances of overfitting.
19_google_l2_regularization.txt, page None: Setting the regularization rate to zero removes regularization completely. In this case, training focuses exclusively on minimizing loss, which poses the highest possible overfitting risk.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-004,Why should an ML model be tested on examples different from its training examples?,dev,direct,dataset_splitting,dev-held-out-evaluation-purpose,"Held-out, nonduplicate examples provide a fairer and stronger test of whether predictions transfer beyond training cases.","04_google_training_validation_test.txt, page None: testing on different examples is stronger proof of your model's fitness than testing on the same set of examples.
04_google_training_validation_test.txt, page None: The only fair test of a model is against new examples, not duplicates.
18_google_overfitting.txt, page None: Overfitting means creating a model that matches (memorizes) the training set so closely that the model fails to make correct predictions on new data.
18_google_overfitting.txt, page None: an overfit model makes excellent predictions on the training set but poor predictions on new data.
18_google_overfitting.txt, page None: A model trains on a training set, but the real test of a model's worth is how well it makes predictions on new examples, particularly on real-world data. While developing a model, your test set serves as a proxy for real-world data.
01_mit_introduction_classification.pdf, page 2: Our task is to ﬁnd a rule that works well for all new images we would encounter in the access control setting; the training set is merely a helpful source of information to ﬁnd such a function.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-005,What makes unseen evaluation cases a stronger check than reusing the fitted cases?,dev,synonym,dataset_splitting,dev-held-out-evaluation-purpose,Unseen cases test fitness beyond the examples the model already learned.,"04_google_training_validation_test.txt, page None: testing on different examples is stronger proof of your model's fitness than testing on the same set of examples.
04_google_training_validation_test.txt, page None: The only fair test of a model is against new examples, not duplicates.
18_google_overfitting.txt, page None: Overfitting means creating a model that matches (memorizes) the training set so closely that the model fails to make correct predictions on new data.
18_google_overfitting.txt, page None: an overfit model makes excellent predictions on the training set but poor predictions on new data.
18_google_overfitting.txt, page None: A model trains on a training set, but the real test of a model's worth is how well it makes predictions on new examples, particularly on real-world data. While developing a model, your test set serves as a proxy for real-world data.
01_mit_introduction_classification.pdf, page 2: Our task is to ﬁnd a rule that works well for all new images we would encounter in the access control setting; the training set is merely a helpful source of information to ﬁnd such a function.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-006,Why is evaluating a model on the same records it learned from weak evidence of fitness?,dev,paraphrase,dataset_splitting,dev-held-out-evaluation-purpose,Reusing training records is not a fair test of performance on genuinely new examples.,"04_google_training_validation_test.txt, page None: testing on different examples is stronger proof of your model's fitness than testing on the same set of examples.
04_google_training_validation_test.txt, page None: The only fair test of a model is against new examples, not duplicates.
18_google_overfitting.txt, page None: Overfitting means creating a model that matches (memorizes) the training set so closely that the model fails to make correct predictions on new data.
18_google_overfitting.txt, page None: an overfit model makes excellent predictions on the training set but poor predictions on new data.
18_google_overfitting.txt, page None: A model trains on a training set, but the real test of a model's worth is how well it makes predictions on new examples, particularly on real-world data. While developing a model, your test set serves as a proxy for real-world data.
01_mit_introduction_classification.pdf, page 2: Our task is to ﬁnd a rule that works well for all new images we would encounter in the access control setting; the training set is merely a helpful source of information to ﬁnd such a function.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-007,What kind of response is regression intended to predict in the MIT lecture?,dev,direct,classification_vs_regression,dev-regression-continuous-target,Regression predicts a real-valued continuous response for each example.,"03_mit_linear_regression_bias_variance.pdf, page 1: The simplest of them is regression where the goal is to predict a continuous response yt ∈ R to each example vector.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-008,What sort of target separates the regression setting described in the notes from label prediction?,dev,paraphrase,classification_vs_regression,dev-regression-continuous-target,The regression target is a continuous real-valued response rather than a discrete label.,"03_mit_linear_regression_bias_variance.pdf, page 1: The simplest of them is regression where the goal is to predict a continuous response yt ∈ R to each example vector.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-009,What two training distinctions are stated for logistic regression versus linear regression?,dev,direct,classification_vs_regression,dev-logistic-vs-linear-training,The lesson emphasizes Log Loss instead of squared loss and regularization to control overfitting. This does not mean linear regression cannot use regularization.,"09_google_logistic_loss.txt, page None: Logistic regression models use Log Loss as the loss function instead of squared loss. Applying regularization is critical to prevent overfitting.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
dev-010,"Compared with linear regression, which loss and anti-overfitting measure does logistic regression use?",dev,paraphrase,classification_vs_regression,dev-logistic-vs-linear-training,The lesson emphasizes Log Loss instead of squared loss and regularization to control overfitting. This does not mean linear regression cannot use regularization.,"09_google_logistic_loss.txt, page None: Logistic regression models use Log Loss as the loss function instead of squared loss. Applying regularization is critical to prevent overfitting.",accepted,Pitanje je jasno i najmanje jedan kandidat ga samostalno podrzava.,assistant
